_______________________________________________________________
Data Size	Timestamp	Resta DataSize	Resta timestamp
_______________________________________________________________
25737		216		25737		216		
1771		249		23966		33		
1464		349		307		100		
1286		383		178		34		
1198		416		88		33		
1738		449		540		33		
1335		483		403		34		
1593		516		258		33		
8097		550		6504		34		
631		583		7466		33		
614		616		17		33		
635		650		21		34		
663		683		28		33		
703		716		40		33		
796		750		93		34		
798		783		2		33		
11412		816		10614		33		
638		850		10774		34		
666		883		28		33		
758		917		92		34		
1223		950		465		33		
690		983		533		33		
673		1017		17		34		
806		1050		133		33		
9446		1083		8640		33		
984		1117		8462		34		
659		1150		325		33		
667		1184		8		34		
695		1217		28		33		
753		1250		58		33		
760		1284		7		34		
830		1317		70		33		
7125		1350		6295		33		
1584		1384		5541		34		
870		1417		714		33		
814		1450		56		33		
866		1484		52		34		
968		1517		102		33		
1285		1551		317		34		
940		1584		345		33		
4924		1617		3984		33		
1194		1651		3730		34		
794		1684		400		33		
828		1717		34		33		
886		1751		58		34		
936		1784		50		33		
972		1817		36		33		
948		1851		24		34		
7904		1884		6956		33		
649		1918		7255		34		
644		1951		5		33		
649		1984		5		33		
740		2018		91		34		
696		2051		44		33		
747		2084		51		33		
813		2118		66		34		
8029		2151		7216		33		
1399		2185		6630		34		
787		2218		612		33		
12837		2251		12050		33		
2644		2285		10193		34		
1317		2318		1327		33		
1245		2351		72		33		
1500		2385		255		34		
1670		2418		170		33		
1465		2451		205		33		
1641		2485		176		34		
4661		2518		3020		33		
527		2552		4134		34		
573		2585		46		33		
685		2618		112		33		
679		2652		6		34		
699		2685		20		33		
678		2718		21		33		
841		2752		163		34		
9710		2785		8869		33		
754		2818		8956		33		
631		2852		123		34		
762		2885		131		33		
791		2919		29		34		
710		2952		81		33		
867		2985		157		33		
744		3019		123		34		
6417		3052		5673		33		
1168		3085		5249		33		
873		3119		295		34		
1131		3152		258		33		
836		3186		295		34		
919		3219		83		33		
1085		3252		166		33		
976		3286		109		34		
7146		3319		6170		33		
1482		3352		5664		33		
756		3386		726		34		
816		3419		60		33		
870		3452		54		33		
856		3486		14		34		
883		3519		27		33		
914		3553		31		34		
7180		3586		6266		33		
659		3619		6521		33		
636		3653		23		34		
634		3686		2		33		
746		3719		112		33		
771		3753		25		34		
782		3786		11		33		
722		3819		60		33		
10548		3853		9826		34		
1236		3886		9312		33		
638		3920		598		34		
750		3953		112		33		
686		3986		64		33		
703		4020		17		34		
679		4053		24		33		
774		4086		95		33		
7017		4120		6243		34		
1266		4153		5751		33		
787		4187		479		34		
12090		4220		11303		33		
2894		4253		9196		33		
1414		4287		1480		34		
1462		4320		48		33		
1371		4353		91		33		
1444		4387		73		34		
2020		4420		576		33		
1587		4453		433		33		
3242		4487		1655		34		
436		4520		2806		33		
445		4554		9		34		
469		4587		24		33		
3566		4620		3097		33		
453		4654		3113		34		
393		4687		60		33		
350		4720		43		33		
4123		4754		3773		34		
675		4787		3448		33		
580		4820		95		33		
555		4854		25		34		
643		4887		88		33		
8524		4921		7881		34		
480		4954		8044		33		
494		4987		14		33		
533		5021		39		34		
5079		5054		4546		33		
514		5087		4565		33		
523		5121		9		34		
675		5154		152		33		
6504		5188		5829		34		
877		5221		5627		33		
656		5254		221		33		
798		5288		142		34		
3212		5321		2414		33		
1494		5354		1718		33		
1189		5388		305		34		
966		5421		223		33		
3105		5454		2139		33		
2805		5488		300		34		
2255		5521		550		33		
2012		5555		243		34		
1948		5588		64		33		
1660		5621		288		33		
1703		5655		43		34		
1812		5688		109		33		
1855		5721		43		33		
1744		5755		111		34		
1589		5788		155		33		
1508		5821		81		33		
1710		5855		202		34		
1757		5888		47		33		
1572		5922		185		34		
1650		5955		78		33		
2031		5988		381		33		
1439		6022		592		34		
1691		6055		252		33		
1847		6088		156		33		
1822		6122		25		34		
1853		6155		31		33		
5571		6189		3718		34		
1924		6222		3647		33		
1972		6255		48		33		
1814		6289		158		34		
1849		6322		35		33		
1828		6355		21		33		
1620		6389		208		34		
1580		6422		40		33		
1637		6455		57		33		
1532		6489		105		34		
1545		6522		13		33		
1463		6556		82		34		
1558		6589		95		33		
1729		6622		171		33		
1564		6656		165		34		
1567		6689		3		33		
1492		6722		75		33		
1663		6756		171		34		
1374		6789		289		33		
1344		6822		30		33		
1505		6856		161		34		
1488		6889		17		33		
1448		6923		40		34		
1305		6956		143		33		
1511		6989		206		33		
1524		7023		13		34		
1531		7056		7		33		
1292		7089		239		33		
1649		7123		357		34		
4197		7156		2548		33		
481		7190		3716		34		
520		7223		39		33		
584		7256		64		33		
2553		7290		1969		34		
514		7323		2039		33		
694		7356		180		33		
692		7390		2		34		
700		7423		8		33		
2106		7456		1406		33		
1921		7490		185		34		
1631		7523		290		33		
1634		7557		3		34		
1510		7590		124		33		
1770		7623		260		33		
3602		7657		1832		34		
534		7690		3068		33		
582		7723		48		33		
576		7757		6		34		
2128		7790		1552		33		
2770		7823		642		33		
623		7857		2147		34		
626		7890		3		33		
671		7924		45		34		
3613		7957		2942		33		
623		7990		2990		33		
629		8024		6		34		
681		8057		52		33		
700		8090		19		33		
5319		8124		4619		34		
7649		8157		2330		33		
2684		8191		4965		34		
1821		8224		863		33		
1573		8257		248		33		
1508		8291		65		34		
1696		8324		188		33		
1757		8357		61		33		
1509		8391		248		34		
3484		8424		1975		33		
650		8457		2834		33		
711		8491		61		34		
749		8524		38		33		
4493		8558		3744		34		
728		8591		3765		33		
861		8624		133		33		
873		8658		12		34		
901		8691		28		33		
893		8724		8		33		
8086		8758		7193		34		
905		8791		7181		33		
824		8824		81		33		
955		8858		131		34		
874		8891		81		33		
920		8925		46		34		
956		8958		36		33		
899		8991		57		33		
10732		9025		9833		34		
1031		9058		9701		33		
1014		9091		17		33		
